OUT,79,2,92760461619958,92760462026041,0,1
IN,1,2,92760461619958,92760462026041,0,1
IN,2,2,92760469282458,92760469632625,0,2
OUT,100,2,92760469282458,92760469632625,0,2
IN,3,2,92760470036375,0,0,3
OUT,102,2,92760470036375,92760470770375,0,3
IN,4,1,92760470630666,0,0,4
OUT,103,1,92760470630666,92760471437875,0,4
IN,5,2,92760471378083,0,0,5
OUT,104,2,92760471378083,92760471939000,0,5
IN,6,2,92760471889625,0,0,6
OUT,105,2,92760471889625,92760472468416,0,6
IN,7,0,92760472368916,0,0,7
OUT,106,0,92760472368916,92760472967875,0,7
IN,8,2,92760472957250,0,0,8
IN,9,2,92760473447416,0,0,9
OUT,107,2,92760472957250,92760473426666,0,8
IN,10,0,92760473949250,0,0,10
OUT,108,2,92760473447416,92760474655708,0,9
IN,11,2,92760474372500,0,0,11
OUT,109,0,92760473949250,92760475127208,0,10
IN,12,2,92760475032416,0,0,12
OUT,110,2,92760474372500,92760475710750,0,11
IN,13,1,92760475569791,0,0,13
OUT,111,2,92760475032416,92760476271375,0,12
IN,14,2,92760476173125,0,0,14
OUT,112,1,92760475569791,92760476671000,0,13
IN,15,2,92760476661333,0,0,15
OUT,113,2,92760476173125,92760477101666,0,14
IN,16,1,92760477006208,0,0,16
IN,17,1,92760477406416,0,0,17
OUT,114,2,92760476661333,92760477480875,0,15
IN,18,2,92760477706583,0,0,18
OUT,115,1,92760477006208,92760477932166,0,16
OUT,116,1,92760477406416,92760478370791,0,17
IN,19,2,92760478162583,0,0,19
OUT,117,2,92760477706583,92760478786166,0,18
IN,20,2,92760478680833,0,0,20
IN,21,1,92760479056208,0,0,21
IN,22,1,92760479357791,0,0,22
OUT,118,2,92760478162583,92760479160333,0,19
IN,23,2,92760479572583,0,0,23
IN,24,2,92760479819958,0,0,24
OUT,119,2,92760478680833,92760479913500,0,20
IN,25,2,92760480121416,0,0,25
OUT,120,1,92760479056208,92760480602000,0,21
IN,26,2,92760480456916,0,0,26
OUT,121,1,92760479357791,92760481219125,0,22
IN,27,2,92760481029958,0,0,27
IN,28,2,92760481679416,0,0,28
OUT,122,2,92760479572583,92760481680500,0,23
OUT,123,2,92760479819958,92760482190958,0,24
IN,29,0,92760481970125,0,0,29
OUT,124,2,92760480121416,92760482663416,0,25
IN,30,2,92760482695041,0,0,30
OUT,125,2,92760480456916,92760483027875,0,26
OUT,126,2,92760481029958,92760483209708,0,27
IN,31,2,92760483054291,0,0,31
IN,32,2,92760483659958,0,0,32
OUT,127,2,92760481679416,92760483685833,0,28
IN,33,2,92760484101916,0,0,33
OUT,128,0,92760481970125,92760484739500,0,29
IN,34,2,92760484582750,0,0,34
OUT,129,2,92760482695041,92760485146375,0,30
OUT,130,2,92760483054291,92760485331666,0,31
IN,35,2,92760485165083,0,0,35
IN,36,2,92760485647541,0,0,36
OUT,131,2,92760483659958,92760487084916,0,32
IN,37,0,92760487156500,0,0,37
OUT,132,2,92760484101916,92760487629500,0,33
IN,38,2,92760487550291,0,0,38
IN,39,2,92760487881291,0,0,39
OUT,133,2,92760484582750,92760487980500,0,34
IN,40,2,92760488188500,0,0,40
OUT,134,2,92760485165083,92760488384833,0,35
IN,41,2,92760488567458,0,0,41
IN,42,2,92760488808791,0,0,42
OUT,135,2,92760485647541,92760488867458,0,36
IN,43,2,92760489050416,0,0,43
OUT,136,0,92760487156500,92760489229833,0,37
OUT,137,2,92760487550291,92760489588583,0,38
IN,44,2,92760489407125,0,0,44
IN,45,1,92760489860208,0,0,45
OUT,138,2,92760487881291,92760489982041,0,39
OUT,139,2,92760488188500,92760490438000,0,40
IN,46,2,92760490212958,0,0,46
OUT,140,2,92760488567458,92760490830791,0,41
IN,47,2,92760490877500,0,0,47
IN,48,2,92760491298125,0,0,48
OUT,141,2,92760488808791,92760491134791,0,42
IN,49,2,92760491474458,0,0,49
OUT,142,2,92760489050416,92760491742500,0,43
IN,50,2,92760491797208,0,0,50
IN,51,2,92760492126958,0,0,51
OUT,143,2,92760489407125,92760492152625,0,44
IN,52,2,92760492342416,0,0,52
IN,53,2,92760492704166,0,0,53
OUT,144,1,92760489860208,92760492793041,0,45
IN,54,2,92760492976916,0,0,54
OUT,145,2,92760490212958,92760493145833,0,46
IN,55,2,92760493323458,0,0,55
IN,56,1,92760493524916,0,0,56
OUT,146,2,92760490877500,92760493724083,0,47
IN,57,1,92760494018833,0,0,57
IN,58,2,92760494492500,0,0,58
OUT,147,2,92760491298125,92760494632166,0,48
IN,59,2,92760494822250,0,0,59
OUT,148,2,92760491474458,92760495224958,0,49
IN,60,2,92760495416125,0,0,60
OUT,149,2,92760491797208,92760495952958,0,50
IN,61,2,92760496311000,0,0,61
OUT,150,2,92760492126958,92760496871041,0,51
IN,62,2,92760497061500,0,0,62
OUT,151,2,92760492342416,92760497290916,0,52
IN,63,2,92760497538916,0,0,63
IN,64,2,92760497830916,0,0,64
OUT,152,2,92760492704166,92760497894708,0,53
IN,65,2,92760498146000,0,0,65
OUT,153,2,92760492976916,92760498428291,0,54
IN,66,2,92760498634916,0,0,66
OUT,154,2,92760493323458,92760498810291,0,55
IN,67,2,92760498984666,0,0,67
OUT,155,1,92760493524916,92760499263375,0,56
IN,68,2,92760499439750,0,0,68
OUT,156,1,92760494018833,92760499678333,0,57
IN,69,2,92760499872500,0,0,69
IN,70,2,92760500221541,0,0,70
OUT,157,2,92760494492500,92760500309791,0,58
IN,71,2,92760500472791,0,0,71
IN,72,2,92760500770125,0,0,72
IN,73,2,92760501002208,0,0,73
OUT,158,2,92760494822250,92760500847000,0,59
IN,74,2,92760501158958,0,0,74
OUT,159,2,92760495416125,92760501407291,0,60
IN,75,2,92760501569000,0,0,75
OUT,160,2,92760496311000,92760503205041,0,61
OUT,161,2,92760497061500,92760503677833,0,62
IN,76,2,92760503509666,0,0,76
IN,77,2,92760504507291,0,0,77
IN,78,0,92760504965208,0,0,78
OUT,162,2,92760497538916,92760504640208,0,63
IN,79,2,92760505186291,0,0,79
IN,80,2,92760505585666,0,0,80
IN,81,2,92760505833000,0,0,81
IN,82,2,92760506098666,0,0,82
IN,83,0,92760506254750,0,0,83
OUT,163,2,92760497830916,92760505535875,0,64
IN,84,2,92760506467791,0,0,84
OUT,164,2,92760498146000,92760507187041,0,65
IN,85,2,92760506867958,0,0,85
OUT,165,2,92760498634916,92760507582833,0,66
IN,86,1,92760507638791,0,0,86
IN,87,2,92760508018875,0,0,87
OUT,166,2,92760498984666,92760508189625,0,67
IN,88,2,92760508414250,0,0,88
OUT,167,2,92760499439750,92760508924458,0,68
OUT,168,2,92760499872500,92760509152875,0,69
OUT,169,2,92760500221541,92760509300541,0,70
IN,89,2,92760509175583,0,0,89
IN,90,2,92760509795500,0,0,90
OUT,170,2,92760500472791,92760510193416,0,71
IN,91,2,92760509941333,0,0,91
OUT,171,2,92760500770125,92760510770666,0,72
IN,92,2,92760510616333,0,0,92
OUT,172,2,92760501002208,92760511478791,0,73
IN,93,0,92760511143291,0,0,93
IN,94,1,92760511877958,0,0,94
OUT,173,2,92760501158958,92760511854166,0,74
IN,95,2,92760512051750,0,0,95
OUT,174,2,92760501569000,92760512335541,0,75
IN,96,2,92760512439416,0,0,96
IN,97,2,92760512772166,0,0,97
OUT,175,2,92760503509666,92760512928583,0,76
IN,98,2,92760513416666,0,0,98
IN,99,0,92760513713666,0,0,99
OUT,176,2,92760504507291,92760513896541,0,77
IN,100,1,92760514140125,0,0,100
IN,101,2,92760514712750,0,0,101
OUT,177,0,92760504965208,92760514647375,0,78
IN,102,2,92760514910125,0,0,102
IN,103,2,92760515270333,0,0,103
IN,104,2,92760515407125,0,0,104
OUT,178,2,92760505186291,92760515193458,0,79
IN,105,2,92760515548291,0,0,105
OUT,179,2,92760505585666,92760515984208,0,80
IN,106,2,92760516104750,0,0,106
OUT,180,2,92760505833000,92760516542125,0,81
IN,107,2,92760516548916,0,0,107
OUT,181,2,92760506098666,92760516844541,0,82
IN,108,2,92760516899166,0,0,108
OUT,182,0,92760506254750,92760518295416,0,83
IN,109,2,92760517263541,0,0,109
OUT,183,2,92760506467791,92760518806666,0,84
IN,110,2,92760518822208,0,0,110
IN,111,0,92760519124791,0,0,111
OUT,184,2,92760506867958,92760518971583,0,85
IN,112,2,92760519240458,0,0,112
OUT,185,1,92760507638791,92760519548250,0,86
IN,113,2,92760519627666,0,0,113
IN,114,2,92760520021166,0,0,114
OUT,186,2,92760508018875,92760520141083,0,87
IN,115,2,92760520473416,0,0,115
IN,116,2,92760520822041,0,0,116
OUT,187,2,92760508414250,92760521058291,0,88
IN,117,2,92760521299333,0,0,117
IN,118,2,92760521600833,0,0,118
IN,119,2,92760522150000,0,0,119
OUT,188,2,92760509175583,92760521952041,0,89
IN,120,2,92760522300583,0,0,120
OUT,189,2,92760509795500,92760522813500,0,90
IN,121,2,92760522791250,0,0,121
IN,122,2,92760523155375,0,0,122
OUT,190,2,92760509941333,92760523233583,0,91
IN,123,2,92760523386541,0,0,123
IN,124,0,92760523661916,0,0,124
OUT,191,2,92760510616333,92760523608125,0,92
IN,125,2,92760523813125,0,0,125
IN,126,2,92760524130666,0,0,126
IN,127,2,92760524389541,0,0,127
OUT,192,0,92760511143291,92760524241041,0,93
IN,128,2,92760524516208,0,0,128
IN,129,2,92760524816875,0,0,129
OUT,193,1,92760511877958,92760524780125,0,94
IN,130,2,92760524951458,0,0,130
IN,131,2,92760525211083,0,0,131
OUT,194,2,92760512051750,92760525276625,0,95
IN,132,2,92760525502666,0,0,132
OUT,195,2,92760512439416,92760525787833,0,96
OUT,196,2,92760512772166,92760526385458,0,97
IN,133,2,92760526245916,0,0,133
OUT,197,2,92760513416666,92760526730875,0,98
IN,134,2,92760526902458,0,0,134
OUT,198,0,92760513713666,92760526966500,0,99
IN,135,2,92760527121666,0,0,135
IN,136,2,92760527374958,0,0,136
IN,137,2,92760527634250,0,0,137
OUT,199,1,92760514140125,92760527485750,0,100
IN,138,2,92760527792458,0,0,138
OUT,200,2,92760514712750,92760527852458,0,101
IN,139,2,92760527990125,0,0,139
IN,140,2,92760528244666,0,0,140
OUT,201,2,92760514910125,92760528223583,0,102
IN,141,2,92760528395041,0,0,141
IN,142,2,92760528692583,0,0,142
IN,143,2,92760528820833,0,0,143
OUT,202,2,92760515270333,92760528607875,0,103
IN,144,2,92760529095458,0,0,144
OUT,203,2,92760515407125,92760529332500,0,104
IN,145,2,92760529269583,0,0,145
IN,146,2,92760530282958,0,0,146
IN,147,0,92760530509125,0,0,147
OUT,204,2,92760515548291,92760530322750,0,105
IN,148,2,92760530767041,0,0,148
IN,149,2,92760531138458,0,0,149
OUT,205,2,92760516104750,92760531116625,0,106
IN,150,2,92760531279708,0,0,150
IN,151,2,92760531608291,0,0,151
IN,152,2,92760531740583,0,0,152
OUT,206,2,92760516548916,92760531519166,0,107
IN,153,2,92760531861875,0,0,153
IN,154,2,92760532318541,0,0,154
OUT,207,2,92760516899166,92760532236583,0,108
IN,155,2,92760532451000,0,0,155
OUT,208,2,92760517263541,92760532742083,0,109
IN,156,0,92760533018583,0,0,156
OUT,209,2,92760518822208,92760533141916,0,110
IN,157,1,92760533285875,0,0,157
OUT,210,0,92760519124791,92760533492208,0,111
IN,158,0,92760533623125,0,0,158
OUT,211,2,92760519240458,92760533750375,0,112
IN,159,2,92760533882458,0,0,159
IN,160,2,92760534146416,0,0,160
OUT,212,2,92760519627666,92760534446291,0,113
IN,161,2,92760534260458,0,0,161
OUT,213,2,92760520021166,92760534809083,0,114
IN,162,2,92760534857958,0,0,162
IN,163,0,92760535162083,0,0,163
IN,164,2,92760535266583,0,0,164
IN,165,2,92760535360208,0,0,165
OUT,214,2,92760520473416,92760535113208,0,115
IN,166,2,92760535456666,0,0,166
IN,167,2,92760535674875,0,0,167
IN,168,2,92760535788000,0,0,168
OUT,215,2,92760520822041,92760535559500,0,116
IN,169,2,92760535891333,0,0,169
IN,170,2,92760536103250,0,0,170
IN,171,0,92760536393625,0,0,171
OUT,216,2,92760521299333,92760536086041,0,117
IN,172,2,92760536525208,0,0,172
IN,173,2,92760536863791,0,0,173
OUT,217,2,92760521600833,92760536927291,0,118
IN,174,2,92760537174125,0,0,174
IN,175,2,92760537401500,0,0,175
IN,176,2,92760537496875,0,0,176
OUT,218,2,92760522150000,92760537302625,0,119
IN,177,2,92760537615833,0,0,177
IN,178,1,92760537951208,0,0,178
OUT,219,2,92760522300583,92760537890375,0,120
OUT,220,2,92760522791250,92760538381166,0,121
IN,179,2,92760538113125,0,0,179
IN,180,2,92760538861583,0,0,180
OUT,221,2,92760523155375,92760538733125,0,122
IN,181,2,92760539094750,0,0,181
OUT,222,2,92760523386541,92760539446875,0,123
IN,182,2,92760539711750,0,0,182
OUT,223,0,92760523661916,92760539846083,0,124
IN,183,2,92760540001500,0,0,183
OUT,224,2,92760523813125,92760540071916,0,125
IN,184,2,92760540200041,0,0,184
OUT,225,2,92760524130666,92760540316375,0,126
IN,185,2,92760540459041,0,0,185
OUT,226,2,92760524389541,92760540645000,0,127
OUT,227,2,92760524516208,92760542238916,0,128
IN,186,2,92760540835291,0,0,186
IN,187,1,92760542635750,0,0,187
OUT,228,2,92760524816875,92760542682166,0,129
IN,188,2,92760542881083,0,0,188
OUT,229,2,92760524951458,92760543165083,0,130
IN,189,2,92760543209375,0,0,189
IN,190,2,92760543503958,0,0,190
OUT,230,2,92760525211083,92760543551708,0,131
IN,191,2,92760543755500,0,0,191
OUT,231,2,92760525502666,92760544277833,0,132
IN,192,1,92760543987583,0,0,192
IN,193,2,92760544600500,0,0,193
OUT,232,2,92760526245916,92760544540333,0,133
IN,194,2,92760544736333,0,0,194
IN,195,2,92760544981333,0,0,195
OUT,233,2,92760526902458,92760544950541,0,134
IN,196,2,92760545094166,0,0,196
IN,197,2,92760545248583,0,0,197
OUT,234,2,92760527121666,92760545275041,0,135
IN,198,2,92760545420416,0,0,198
OUT,235,2,92760527374958,92760545561750,0,136
IN,199,2,92760545698250,0,0,199
IN,200,2,92760545973041,0,0,200
IN,201,2,92760546087833,0,0,201
OUT,236,2,92760527634250,92760545937958,0,137
IN,202,2,92760546210541,0,0,202
IN,203,1,92760546438791,0,0,203
OUT,237,2,92760527792458,92760546299375,0,138
IN,204,2,92760546531875,0,0,204
OUT,238,2,92760527990125,92760546831416,0,139
IN,205,2,92760546913583,0,0,205
IN,206,2,92760547128791,0,0,206
OUT,239,2,92760528244666,92760547011458,0,140
IN,207,0,92760547307041,0,0,207
IN,208,2,92760547654625,0,0,208
OUT,240,2,92760528395041,92760547527041,0,141
IN,209,2,92760547841875,0,0,209
IN,210,0,92760548178208,0,0,210
OUT,241,2,92760528692583,92760548101166,0,142
IN,211,2,92760548292875,0,0,211
OUT,242,2,92760528820833,92760548397625,0,143
IN,212,2,92760548521625,0,0,212
IN,213,2,92760548829375,0,0,213
OUT,243,2,92760529095458,92760548749916,0,144
IN,214,2,92760548986750,0,0,214
OUT,244,2,92760529269583,92760549104083,0,145
IN,215,2,92760549258833,0,0,215
OUT,245,2,92760530282958,92760549426208,0,146
IN,216,2,92760549510958,0,0,216
OUT,246,0,92760530509125,92760549632208,0,147
IN,217,2,92760549763750,0,0,217
OUT,247,2,92760530767041,92760549863458,0,148
IN,218,2,92760549991666,0,0,218
IN,219,2,92760550196541,0,0,219
IN,220,2,92760550277250,0,0,220
OUT,248,2,92760531138458,92760550153083,0,149
IN,221,2,92760550380333,0,0,221
OUT,249,2,92760531279708,92760550492625,0,150
IN,222,0,92760550621708,0,0,222
OUT,250,2,92760531608291,92760550784916,0,151
IN,223,2,92760550909875,0,0,223
IN,224,2,92760551200250,0,0,224
OUT,251,2,92760531740583,92760551092666,0,152
IN,225,2,92760551339916,0,0,225
IN,226,1,92760551601541,0,0,226
OUT,252,2,92760531861875,92760551519041,0,153
IN,227,2,92760551717500,0,0,227
IN,228,2,92760552146916,0,0,228
IN,229,2,92760552344583,0,0,229
IN,230,2,92760552452083,0,0,230
OUT,253,2,92760532318541,92760552177708,0,154
IN,231,0,92760552556250,0,0,231
OUT,254,2,92760532451000,92760552663375,0,155
OUT,255,0,92760533018583,92760552934875,0,156
IN,232,2,92760552803708,0,0,232
IN,233,2,92760553339583,0,0,233
IN,234,2,92760553558083,0,0,234
IN,235,2,92760553760458,0,0,235
IN,236,2,92760553867291,0,0,236
OUT,256,1,92760533285875,92760553374625,0,157
IN,237,2,92760553973166,0,0,237
IN,238,2,92760554381500,0,0,238
IN,239,2,92760554830750,0,0,239
OUT,257,0,92760533623125,92760554490833,0,158
OUT,258,2,92760533882458,92760555323333,0,159
OUT,259,2,92760534146416,92760555774625,0,160
IN,240,2,92760554995625,0,0,240
IN,241,2,92760556192208,0,0,241
OUT,260,2,92760534260458,92760556126875,0,161
IN,242,2,92760556315833,0,0,242
OUT,261,2,92760534857958,92760556531458,0,162
IN,243,2,92760556612666,0,0,243
IN,244,2,92760556920375,0,0,244
OUT,262,0,92760535162083,92760556848958,0,163
IN,245,2,92760557041416,0,0,245
IN,246,2,92760557349750,0,0,246
OUT,263,2,92760535266583,92760557279416,0,164
IN,247,2,92760557457916,0,0,247
OUT,264,2,92760535360208,92760557679208,0,165
IN,248,2,92760557735750,0,0,248
IN,249,1,92760557982166,0,0,249
IN,250,2,92760558065875,0,0,250
OUT,265,2,92760535456666,92760557866500,0,166
IN,251,1,92760558232916,0,0,251
IN,252,2,92760558469583,0,0,252
OUT,266,2,92760535674875,92760558345625,0,167
IN,253,2,92760558570416,0,0,253
IN,254,2,92760558825041,0,0,254
IN,255,2,92760558911541,0,0,255
IN,256,2,92760558994083,0,0,256
IN,257,2,92760559083833,0,0,257
IN,258,2,92760559165666,0,0,258
IN,259,2,92760559244250,0,0,259
OUT,267,2,92760535788000,92760558722500,0,168
IN,260,2,92760559321208,0,0,260
IN,261,1,92760559479333,0,0,261
OUT,268,2,92760535891333,92760559504708,0,169
IN,262,1,92760559621500,0,0,262
OUT,269,2,92760536103250,92760559722583,0,170
IN,263,2,92760559840000,0,0,263
IN,264,2,92760560027708,0,0,264
IN,265,2,92760560142666,0,0,265
IN,266,1,92760560220083,0,0,266
IN,267,2,92760560295875,0,0,267
IN,268,2,92760560370291,0,0,268
IN,269,2,92760560444125,0,0,269
IN,270,2,92760560522916,0,0,270
OUT,270,0,92760536393625,92760559927166,0,171
IN,271,2,92760560597375,0,0,271
IN,272,1,92760560804875,0,0,272
IN,273,1,92760560885083,0,0,273
IN,274,2,92760560983375,0,0,274
IN,275,2,92760561070041,0,0,275
IN,276,2,92760561145625,0,0,276
IN,277,2,92760562788250,0,0,277
IN,278,2,92760562894541,0,0,278
OUT,271,2,92760536525208,92760560702208,0,172
IN,279,2,92760562972458,0,0,279
IN,280,0,92760563425833,0,0,280
IN,281,2,92760563519208,0,0,281
IN,282,2,92760563594000,0,0,282
IN,283,2,92760563666125,0,0,283
IN,284,1,92760563734333,0,0,284
OUT,272,2,92760536863791,92760563396625,0,173
IN,285,2,92760563826791,0,0,285
IN,286,2,92760564173208,0,0,286
IN,287,1,92760564271875,0,0,287
IN,288,2,92760564353666,0,0,288
IN,289,2,92760564447458,0,0,289
IN,290,1,92760564523750,0,0,290
OUT,273,2,92760537174125,92760564151583,0,174
IN,291,2,92760564686250,0,0,291
IN,292,2,92760564843083,0,0,292
IN,293,2,92760564950958,0,0,293
IN,294,2,92760565023000,0,0,294
IN,295,2,92760565089208,0,0,295
IN,296,2,92760565155000,0,0,296
IN,297,2,92760565223000,0,0,297
IN,298,2,92760565285291,0,0,298
IN,299,1,92760565348791,0,0,299
IN,300,2,92760565417458,0,0,300
IN,301,2,92760565499041,0,0,301
IN,302,1,92760565564583,0,0,302
IN,303,2,92760565633541,0,0,303
IN,304,2,92760565703125,0,0,304
IN,305,0,92760565793166,0,0,305
IN,306,2,92760565858666,0,0,306
IN,307,2,92760565979833,0,0,307
IN,308,2,92760566052750,0,0,308
IN,309,2,92760566117208,0,0,309
OUT,274,2,92760537401500,92760564863666,0,175
IN,310,2,92760566194125,0,0,310
IN,311,2,92760566393666,0,0,311
IN,312,2,92760566472250,0,0,312
IN,313,0,92760566552791,0,0,313
IN,314,2,92760566615541,0,0,314
IN,315,0,92760566679041,0,0,315
IN,316,2,92760566745250,0,0,316
IN,317,2,92760566825916,0,0,317
IN,318,1,92760566889583,0,0,318
IN,319,1,92760566953625,0,0,319
IN,320,1,92760567031541,0,0,320
IN,321,2,92760567099625,0,0,321
IN,322,1,92760567164166,0,0,322
IN,323,2,92760567226333,0,0,323
IN,324,2,92760567288125,0,0,324
IN,325,2,92760567350291,0,0,325
IN,326,2,92760567430000,0,0,326
IN,327,1,92760567493416,0,0,327
IN,328,1,92760567556458,0,0,328
IN,329,2,92760567634250,0,0,329
IN,330,2,92760567696083,0,0,330
IN,331,1,92760567771916,0,0,331
IN,332,2,92760567837041,0,0,332
IN,333,2,92760567915458,0,0,333
OUT,275,2,92760537496875,92760566363458,0,176
IN,334,2,92760567981791,0,0,334
IN,335,2,92760569381625,0,0,335
IN,336,0,92760569478583,0,0,336
OUT,276,2,92760537615833,92760569540000,0,177
OUT,277,1,92760537951208,92760570607666,0,178
IN,337,1,92760570099375,0,0,337
IN,338,2,92760571058875,0,0,338
IN,339,1,92760571223416,0,0,339
IN,340,2,92760571518125,0,0,340
IN,341,2,92760571609750,0,0,341
IN,342,2,92760571685000,0,0,342
IN,343,2,92760571767750,0,0,343
IN,344,2,92760571898583,0,0,344
IN,345,2,92760571981458,0,0,345
IN,346,2,92760572066958,0,0,346
IN,347,2,92760572131666,0,0,347
IN,348,2,92760572194500,0,0,348
IN,349,2,92760572262875,0,0,349
IN,350,2,92760572330291,0,0,350
IN,351,1,92760572561375,0,0,351
IN,352,2,92760572631291,0,0,352
IN,353,2,92760572710750,0,0,353
IN,354,2,92760572771291,0,0,354
IN,355,2,92760572832125,0,0,355
IN,356,0,92760572892833,0,0,356
IN,357,0,92760572967166,0,0,357
IN,358,2,92760573025583,0,0,358
